日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260831,6087,アビスト,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6088,シグマクシス・ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260831,6089,ウィルグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,608A,上場インデックスファンド東証ＲＥＩＴ高利回り３０,ETF・ETN,-,-,-,-,-,-
20260831,6090,ヒューマン・メタボローム・テクノロジーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6091,ウエスコホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6092,エンバイオ・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6093,ミトラグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6094,フリークアウト・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6098,リクルートホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,1,TOPIX Core30
20260831,6099,エラン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,609A,グローバルＸ　総合商社＆資源ビジネス－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260831,6101,ツガミ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6103,オークマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6104,芝浦機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,610A,グローバルＸ　宇宙テック・トップ１０　ＥＴＦ（除く日本）,ETF・ETN,-,-,-,-,-,-
20260831,6113,アマダ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260831,6118,アイダエンジニアリング,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,611A,Ｏｎｅ　ＥＴＦ　日本国債　２７－３０年,ETF・ETN,-,-,-,-,-,-
20260831,6125,岡本工作機械製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,612A,Ｏｎｅ　ＥＴＦ　日本国債先物逆連動指数,ETF・ETN,-,-,-,-,-,-
20260831,6134,ＦＵＪＩ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260831,6135,牧野フライス製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6136,オーエスジー,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260831,6137,小池酸素工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6138,ダイジェット工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,613A,ｉＦｒｅｅＥＴＦ　ドイツ０－３カ月短期国債,ETF・ETN,-,-,-,-,-,-
20260831,6140,旭ダイヤモンド工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6141,ＤＭＧ森精機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260831,6143,ソディック,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6144,西部電機,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6145,ＮＩＴＴＯＫＵ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6146,ディスコ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70
20260831,6147,ヤマザキ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6149,小田原エンジニアリング,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,614A,山八商事,PRO Market,8050,不動産業,17,不動産,-,-
20260831,6150,タケダ機械,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6151,日東工器,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260831,6155,高松機械工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6156,エーワン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6157,日進工具,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260831,6158,和井田製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6159,ミクロン精密,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,615A,インターパーク,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,6161,エスティック,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6165,パンチ工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6166,中村超硬,グロース（内国株式）,3600,機械,8,機械,-,-
20260831,6167,冨士ダイス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260831,6168,ＯＮＥ　ＧＲＯＵＰ,PRO Market,3600,機械,8,機械,-,-
20260831,616A,数理技研,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,6171,土木管理総合試験所,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6174,デンタス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6176,ブランジスタ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6177,ＡｐｐＢａｎｋ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6178,日本郵政,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,2,TOPIX Large70
20260831,617A,レイシャス,PRO Market,8050,不動産業,17,不動産,-,-
20260831,6180,ＧＭＯメディア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6181,タメニー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6182,メタリアル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6183,ベルシステム２４ホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,6184,鎌倉新書,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,6185,ＳＭＮ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6186,一蔵,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6189,グローバルキッズＣＯＭＰＡＮＹ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6190,フェニックスバイオ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6191,エアトリ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,6193,バーチャレクス・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6194,アトラエ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,6195,ホープ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6196,ストライクグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260831,6198,キャリア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,6199,セラク,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,6200,インソース,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260831,6203,豊和工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6208,石川製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6209,リケンＮＰＲ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6217,津田駒工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6218,エンシュウ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6222,島精機製作所,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260831,6223,西部技研,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6224,ＪＲＣ,グロース（内国株式）,3600,機械,8,機械,-,-
20260831,6226,守谷輸送機工業,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6227,ＡＩメカテック,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6228,ジェイ・イー・ティ,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6229,オーケーエム,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260831,6230,ＳＡＮＥＩ,スタンダード（内国株式）,3600,機械,8,機械,-,-
